carat,cut,color,clarity,depth,table,price
1.08,Premium,G,SI2,59.3,61.0,3701
0.31,Very Good,H,SI1,63.1,57.0,573
0.51,Premium,G,VS1,62.1,60.0,1656
0.36,Premium,E,SI2,61.5,58.0,505
0.78,Very Good,F,SI2,62.2,59.0,2550
0.71,Very Good,G,VS2,61.8,56.0,2647
0.35,Ideal,I,VVS2,61.5,55.0,598
1.17,Ideal,D,SI2,62.7,57.0,5842
1.0,Premium,E,SI2,61.0,59.0,3752
0.3,Ideal,G,VS2,62.3,56.0,675
0.59,Very Good,E,VS2,60.6,60.0,2094
1.0,Premium,H,SI1,61.5,58.0,4702
0.72,Good,F,SI1,63.1,56.0,2647
0.55,Premium,E,SI2,61.9,58.0,1273
0.5,Very Good,E,VVS2,61.5,59.0,2105
0.33,Ideal,E,VS2,61.0,57.0,928
0.37,Ideal,E,VS2,61.6,57.0,1041
1.22,Very Good,H,SI1,63.5,55.0,6387
0.31,Premium,G,VVS2,61.8,58.0,707
1.04,Ideal,F,SI1,62.1,56.0,4426
1.01,Good,I,SI1,61.7,58.0,4171
1.51,Very Good,I,SI1,62.7,61.0,8637
0.5,Very Good,E,VVS1,62.1,56.0,2148
0.54,Ideal,H,SI1,62.5,56.0,1147
0.4,Very Good,D,SI2,63.4,59.0,798
0.74,Very Good,G,SI2,62.8,59.0,2262
1.06,Ideal,F,VS1,61.7,57.0,8344
0.55,Ideal,G,VVS2,62.3,53.0,1799
1.08,Ideal,I,SI2,62.3,57.0,4130
0.42,Premium,D,SI1,61.1,60.0,810
1.01,Good,F,SI1,64.1,60.0,4276
0.32,Premium,F,VS2,61.3,60.0,828
0.91,Very Good,H,SI1,62.2,60.0,3734
1.32,Very Good,J,SI1,63.5,57.0,4657
0.76,Ideal,E,SI1,62.4,54.0,3056
0.32,Very Good,F,VVS2,63.0,56.0,721
0.71,Ideal,I,VVS1,62.4,55.0,2559
1.01,Good,H,SI1,63.3,58.0,4559
0.58,Ideal,G,VS1,62.6,54.0,1984
1.01,Premium,G,SI2,62.4,59.0,4327
0.79,Very Good,G,SI2,62.4,56.0,2482
0.71,Premium,E,SI2,61.8,57.0,2271
0.41,Ideal,G,VS1,61.6,57.0,961
0.38,Ideal,G,SI1,61.3,56.0,855
0.34,Ideal,H,VS2,60.4,57.0,555
1.21,Premium,G,VVS1,60.1,61.0,9003
1.03,Very Good,I,VS1,62.9,53.0,5455
1.77,Good,J,SI2,63.4,60.0,8109
1.01,Very Good,E,SI1,64.1,56.0,5479
0.71,Ideal,E,SI1,60.8,57.0,3360
0.61,Premium,D,SI2,60.8,57.0,1308
1.16,Ideal,G,VVS2,62.0,56.0,8646
0.51,Good,G,VVS1,63.9,57.0,2027
0.72,Ideal,F,SI2,61.6,57.0,2074
0.53,Premium,G,SI1,61.3,58.0,1273
0.33,Ideal,F,IF,61.8,56.0,978
0.59,Very Good,G,VS2,62.8,59.0,1623
0.34,Ideal,H,VS2,61.7,57.0,537
0.3,Premium,H,SI1,62.9,59.0,554
0.5,Ideal,H,VS2,61.3,56.0,1349
1.2,Ideal,G,SI2,62.2,56.0,5385
0.32,Premium,E,SI1,62.2,58.0,720
1.11,Ideal,H,SI1,62.6,57.0,5688
0.3,Ideal,H,VVS1,61.5,55.0,650
0.51,Ideal,E,SI1,61.7,55.0,1443
0.43,Ideal,G,VVS2,60.9,57.0,1056
1.01,Very Good,I,SI1,62.1,59.0,4418
0.47,Ideal,D,VS1,61.0,55.0,1617
0.23,Premium,E,VVS1,60.8,56.0,640
0.33,Premium,F,VVS2,62.3,60.0,901
1.0,Premium,F,VS2,62.4,60.0,6352
0.8,Ideal,F,VS2,61.4,56.0,4816
0.3,Premium,D,VVS2,62.4,58.0,752
0.7,Ideal,G,VS2,61.5,57.0,3253
0.3,Premium,G,IF,61.6,60.0,956
1.09,Premium,D,SI2,61.9,61.0,3961
0.7,Ideal,I,VS1,62.7,57.0,2163
0.51,Ideal,E,SI1,59.6,57.0,1546
0.55,Premium,G,SI2,61.2,59.0,1069
0.32,Ideal,H,VS2,61.7,57.0,529
0.75,Premium,I,SI1,62.7,61.0,2142
0.32,Premium,H,VS2,62.7,58.0,471
0.92,Good,G,VS2,63.4,57.0,4243
0.7,Very Good,E,SI1,60.3,58.0,2239
0.32,Premium,G,IF,59.4,60.0,891
0.54,Ideal,F,VVS2,61.0,54.0,2231
1.25,Ideal,I,VS1,61.6,56.0,7485
0.33,Premium,H,VS1,61.0,59.0,743
0.72,Ideal,H,VVS2,60.9,56.0,3475
0.38,Good,F,VS2,62.7,58.0,752
0.7,Ideal,F,SI1,59.9,57.0,2264
0.23,Very Good,E,VVS1,61.4,60.0,472
0.31,Ideal,F,IF,62.2,56.0,1122
0.53,Ideal,F,VVS2,61.4,56.0,2275
0.46,Premium,E,VS1,62.0,58.0,1294
0.64,Premium,E,SI1,61.3,58.0,1811
0.91,Very Good,I,VS1,61.9,57.0,3734
1.09,Premium,H,SI1,59.8,60.0,5335
0.54,Ideal,G,VVS2,61.5,57.0,2060
1.2,Ideal,J,SI2,61.7,56.0,4744
1.01,Premium,F,SI1,61.9,56.0,5599
0.3,Premium,H,VS2,61.8,60.0,473
0.32,Very Good,I,VS2,62.9,57.0,449
0.3,Ideal,D,VVS2,62.2,55.0,814
1.12,Ideal,G,SI2,62.4,56.0,4798
0.32,Good,G,VS1,60.8,62.0,548
0.31,Good,D,SI1,63.7,54.0,571
0.53,Ideal,F,VS1,61.6,55.0,1740
0.56,Ideal,E,SI1,61.3,56.0,1405
1.03,Ideal,G,VS2,61.3,57.0,6981
1.14,Premium,F,SI1,60.4,58.0,6320
0.43,Ideal,I,VVS1,62.2,57.0,968
1.04,Ideal,G,VS2,61.9,57.0,6290
0.7,Premium,F,VS2,61.1,62.0,2369
0.9,Good,F,VS2,62.7,59.0,4493
1.03,Ideal,F,I1,61.1,55.0,3444
0.57,Premium,G,VS2,62.8,57.0,1728
1.52,Premium,I,SI2,62.5,56.0,7341
0.9,Good,G,VVS2,63.6,58.0,5001
1.17,Premium,G,VS1,60.6,60.0,7666
1.01,Good,E,VS1,63.6,54.0,7466
0.92,Premium,E,SI1,61.7,57.0,4637
0.3,Good,E,VS1,63.2,57.0,568
0.91,Very Good,G,SI1,63.4,59.0,3763
0.41,Ideal,J,VS1,60.2,57.0,830
1.16,Ideal,J,SI1,60.7,57.0,4028
0.31,Ideal,E,VVS2,60.4,61.0,710
1.0,Very Good,F,SI2,63.4,55.0,4033
0.5,Good,D,VS1,64.2,55.0,1701
0.75,Very Good,E,SI1,62.4,57.0,2517
0.7,Premium,D,VS1,61.0,59.0,3501
0.52,Ideal,H,VVS1,61.2,57.0,1809
0.7,Very Good,D,SI1,63.4,58.0,2734
0.8,Ideal,I,VS1,60.7,59.0,3010
0.41,Ideal,G,VS1,61.2,57.0,870
0.73,Very Good,F,SI1,63.5,56.0,2360
0.81,Ideal,F,SI2,62.9,57.0,2726
0.7,Very Good,G,VS2,62.5,54.0,2562
0.71,Very Good,I,VVS2,60.6,56.0,2586
0.33,Premium,H,VS1,59.0,62.0,693
0.24,Very Good,F,VVS1,59.0,59.0,552
0.32,Ideal,D,VS2,62.7,57.0,758
0.7,Ideal,D,VS2,60.3,60.0,2991
0.31,Premium,I,VS1,60.8,59.0,489
0.38,Premium,E,VS2,59.2,60.0,1112
1.11,Premium,G,VS2,59.0,59.0,6713
0.34,Ideal,G,VS2,61.4,57.0,596
1.0,Good,H,VS1,61.8,61.0,5219
0.63,Premium,E,VVS1,60.9,60.0,2765
1.01,Premium,H,SI1,60.4,60.0,4977
0.7,Ideal,G,VVS2,61.6,57.0,3725
0.31,Ideal,I,IF,61.7,55.0,635
1.19,Very Good,E,VS2,59.2,60.0,7152
1.13,Ideal,I,SI2,61.4,56.0,4481
1.01,Premium,F,VVS2,59.3,60.0,8579
0.32,Ideal,D,SI2,61.1,56.0,612
1.05,Premium,E,I1,62.2,61.0,3293
0.52,Premium,G,VS1,61.1,58.0,1815
0.32,Ideal,E,VS1,61.8,56.0,825
0.37,Ideal,H,SI1,60.9,57.0,552
0.73,Ideal,D,SI2,62.4,56.0,2707
0.9,Premium,H,VS1,63.0,59.0,4064
0.31,Good,J,VS1,61.9,61.0,412
0.53,Premium,E,SI1,61.9,56.0,1607
0.73,Very Good,G,SI1,59.8,61.0,2330
0.51,Ideal,D,VS2,61.7,56.0,1633
1.07,Ideal,F,VVS2,62.3,57.0,10061
1.26,Premium,I,SI1,60.9,58.0,5504
0.62,Ideal,I,SI1,61.9,54.0,1271
0.31,Very Good,H,VS1,62.8,58.0,544
0.9,Very Good,D,SI2,61.0,61.0,3371
0.32,Premium,G,VVS2,60.8,59.0,936
0.77,Ideal,H,SI2,60.8,57.0,2302
1.24,Ideal,H,SI1,61.6,57.0,6958
0.59,Ideal,F,VS1,61.1,56.0,2140
0.38,Ideal,E,VVS2,61.9,57.0,1176
0.59,Premium,E,VS2,62.5,56.0,2578
1.31,Good,H,SI2,64.1,57.0,5429
0.3,Ideal,H,VVS1,61.1,58.0,665
1.18,Very Good,E,SI2,62.5,60.0,5088
0.3,Ideal,E,VS2,62.3,56.0,844
0.56,Ideal,G,VVS2,61.6,55.0,2066
1.11,Good,J,SI1,63.6,58.0,3846
1.03,Ideal,H,SI1,62.3,56.0,4520
0.52,Very Good,G,VS1,59.5,58.0,1621
0.34,Premium,E,VS2,61.9,58.0,956
0.4,Ideal,G,VS2,62.9,56.0,1035
0.35,Premium,F,SI1,62.3,58.0,583
0.34,Premium,G,VS2,61.3,58.0,765
1.05,Very Good,E,SI2,62.3,56.0,4851
1.24,Ideal,J,SI2,60.1,57.0,4783
0.31,Very Good,H,VS2,60.5,63.0,489
0.7,Very Good,F,VS2,62.9,58.0,2803
1.3,Ideal,F,SI2,62.2,56.0,6559
0.9,Very Good,D,SI1,60.4,59.0,4846
1.0,Premium,F,SI2,61.7,58.0,3858
0.3,Premium,G,VVS2,62.8,60.0,878
1.34,Premium,G,SI2,61.7,58.0,6464
0.73,Ideal,D,SI2,61.9,57.0,2557
0.8,Ideal,F,VS2,61.2,58.0,3713
1.27,Premium,G,SI1,61.4,59.0,7133
0.3,Ideal,F,VS1,61.9,55.0,673
0.81,Ideal,J,SI2,62.2,57.0,2100
0.52,Very Good,E,SI1,59.3,59.0,1438
0.42,Ideal,G,IF,62.4,57.0,1394
0.71,Good,I,VS2,64.2,58.0,2028
0.71,Ideal,E,VS1,61.9,56.0,4053
0.4,Premium,D,VS1,60.9,58.0,1123
0.66,Good,F,SI1,60.4,60.1,2017
0.34,Ideal,H,VS1,62.7,57.0,596
0.33,Ideal,G,IF,61.6,56.0,984
0.51,Very Good,E,VS2,63.3,57.0,1662
0.44,Ideal,E,VS2,62.4,57.0,1073
0.3,Premium,H,SI1,62.9,58.0,540
0.71,Premium,E,SI1,61.1,57.0,2629
1.21,Premium,H,VS2,61.0,58.0,7142
0.3,Ideal,H,VS1,62.2,54.0,539
0.62,Very Good,H,VS2,61.7,63.0,1709
0.39,Ideal,E,VVS2,61.6,56.0,1300
0.3,Good,D,SI2,63.3,57.0,447
0.24,Very Good,E,VS2,62.1,58.0,419
0.71,Very Good,G,SI1,63.4,58.0,2368
1.02,Premium,I,VS2,62.0,58.0,4459
0.58,Ideal,F,VVS1,61.7,55.0,3090
0.72,Premium,E,SI2,60.4,58.0,2320
1.01,Very Good,F,SI1,63.5,59.0,4846
1.27,Premium,I,SI2,62.0,60.0,4836
1.04,Ideal,I,SI2,62.4,57.0,3953
1.13,Ideal,H,I1,61.1,56.0,3669
0.55,Ideal,H,IF,61.7,55.0,2133
1.02,Very Good,E,VS1,62.9,54.0,8317
0.53,Ideal,F,SI1,62.6,55.0,1359
1.01,Ideal,H,VS2,62.3,57.0,4821
1.01,Ideal,I,VS1,60.3,57.0,5231
0.3,Ideal,D,VS2,61.1,56.0,710
0.5,Ideal,F,VVS2,62.0,53.6,2025
0.7,Ideal,E,SI1,62.2,57.0,2542
0.36,Ideal,I,IF,61.8,55.0,735
0.51,Premium,D,SI1,61.0,60.0,1687
0.38,Ideal,D,VVS2,60.7,55.0,1289
0.55,Premium,D,SI1,60.7,58.0,1819
0.41,Good,J,VS2,64.3,55.0,606
1.02,Premium,D,VS2,59.8,61.0,6909
0.41,Ideal,F,VVS2,61.2,56.0,1192
0.33,Ideal,H,SI1,60.9,56.0,511
1.4,Premium,G,SI1,62.5,58.0,8511
1.0,Very Good,E,SI2,59.1,61.0,4004
0.57,Ideal,E,VS2,62.9,57.0,1949
0.76,Ideal,F,VVS2,60.9,57.0,3716
1.0,Ideal,E,SI1,62.3,55.0,5299
0.32,Ideal,G,VVS2,62.2,55.0,936
0.41,Premium,E,VVS1,62.2,58.0,1367
1.01,Fair,D,SI1,63.5,58.0,4751
0.83,Ideal,J,VS2,62.1,56.0,2570
0.71,Ideal,F,SI2,61.6,56.0,2202
0.72,Premium,F,SI1,62.0,60.0,2385
0.71,Ideal,F,VS1,60.8,56.0,3710
0.3,Ideal,E,VVS2,62.3,54.1,779
0.61,Premium,H,VVS2,60.9,60.0,1752
0.32,Premium,G,VS1,60.6,60.0,645
1.0,Premium,E,SI2,61.0,62.0,4200
0.7,Very Good,F,SI1,62.8,57.0,2250
0.72,Very Good,E,VS2,63.0,58.0,3065
0.71,Premium,F,SI2,60.2,60.0,2137
1.23,Premium,G,VS1,59.6,60.0,8145
0.56,Premium,F,SI2,60.2,58.0,1715
0.34,Ideal,H,SI1,61.4,55.0,440
0.3,Ideal,G,VVS1,61.4,57.0,764
1.22,Premium,E,SI2,62.5,55.0,6121
0.77,Very Good,H,VS1,62.2,57.0,3152
1.05,Ideal,I,VS2,62.2,55.8,6279
1.02,Premium,F,VS1,61.9,58.0,7485
0.32,Ideal,F,VS1,61.9,56.0,716
1.05,Ideal,D,SI2,61.9,56.0,5110
1.04,Premium,H,VS1,59.7,59.0,5882
0.24,Very Good,F,VS1,63.0,59.0,419
0.7,Very Good,G,VS1,61.6,57.0,3127
0.5,Ideal,D,VS2,61.8,54.0,1628
0.7,Very Good,E,SI2,63.2,56.0,2298
0.73,Ideal,F,VVS2,62.2,54.0,3193
1.51,Ideal,I,VS2,60.6,56.0,9442
1.18,Ideal,I,VS2,62.3,56.0,6304
0.39,Very Good,D,VVS2,63.0,57.0,1232
0.31,Very Good,G,VS2,62.6,57.0,544
1.06,Very Good,F,VS2,62.2,57.0,6823
0.58,Ideal,E,SI1,61.6,55.0,1636
0.51,Ideal,H,IF,62.0,54.0,1879
0.84,Good,G,VS2,63.6,59.0,3312
0.41,Ideal,E,VS1,61.6,54.0,1004
1.18,Very Good,E,I1,59.9,63.0,3278
0.35,Ideal,J,VS2,61.8,55.0,446
0.38,Ideal,G,VS1,60.8,56.0,833
0.53,Ideal,F,IF,62.4,55.0,2447
0.39,Premium,E,VVS2,61.1,59.0,1207
1.5,Premium,H,SI2,62.5,60.0,8333
1.08,Premium,H,VS1,62.5,60.0,5111
0.31,Ideal,D,VS2,62.1,54.0,942
0.7,Very Good,F,VS2,61.6,60.0,2737
0.41,Ideal,G,VS2,62.2,57.0,827
1.54,Fair,F,SI2,64.4,60.0,7848
0.4,Very Good,F,VVS2,62.9,55.0,972
1.11,Premium,I,VS2,60.4,58.0,4942
1.02,Ideal,I,VS2,62.7,56.0,4281
0.51,Ideal,F,SI1,62.9,56.0,1406
0.53,Ideal,G,SI1,61.0,56.0,1284
0.9,Premium,E,SI1,60.8,59.0,4463
0.71,Premium,E,VS1,59.7,57.0,2920
0.91,Good,G,VS1,64.1,59.0,4150
1.5,Premium,J,VS1,62.8,59.0,9240
1.01,Very Good,I,SI1,63.6,58.0,4189
1.0,Premium,G,VS1,59.1,61.0,6552
1.5,Premium,H,VS2,60.8,59.0,10291
1.0,Premium,D,SI1,61.3,61.0,5880
0.3,Fair,D,SI2,64.6,54.0,536
0.7,Ideal,I,VS2,62.3,54.0,2390
1.09,Premium,H,VS2,62.6,56.0,5601
0.76,Ideal,E,SI1,61.7,57.0,2814
1.09,Very Good,I,SI1,63.2,59.0,4639
0.71,Ideal,G,VVS1,61.2,56.0,4015
0.77,Very Good,G,SI1,62.7,57.0,2633
1.73,Very Good,I,SI1,61.2,60.0,10761
0.31,Premium,D,VS2,62.5,52.0,816
1.23,Very Good,G,SI2,63.4,58.0,5550
0.9,Good,I,SI2,64.0,55.0,2503
0.52,Very Good,E,SI1,61.1,62.0,1343
1.0,Ideal,D,SI1,60.2,57.0,4774
0.43,Ideal,D,VS1,62.1,56.0,1264
0.3,Very Good,H,VS1,63.2,58.0,630
1.08,Ideal,J,SI1,61.8,56.0,4524
0.3,Ideal,D,VS2,61.5,55.0,710
0.42,Very Good,D,VS2,60.7,60.0,910
1.0,Very Good,G,VS2,62.4,58.0,6449
1.07,Good,D,SI2,61.0,62.0,4710
0.26,Ideal,E,VVS1,62.0,56.0,599
1.22,Premium,D,VS2,59.4,59.0,9756
0.31,Very Good,E,VVS2,61.4,60.0,816
1.03,Ideal,E,SI2,62.3,56.0,4758
0.9,Very Good,D,SI2,62.5,55.0,4946
1.01,Very Good,G,SI2,60.8,63.0,3577
0.9,Very Good,D,SI1,63.3,57.0,4304
1.22,Premium,E,I1,60.9,57.0,2862
1.0,Premium,G,VS2,62.0,62.0,5645
1.26,Very Good,J,SI1,61.8,58.0,4989
1.29,Ideal,D,I1,61.3,56.0,5065
0.31,Very Good,D,SI1,63.5,57.0,732
0.55,Premium,E,VS2,60.1,59.0,1735
0.73,Ideal,G,VS1,61.8,57.0,3041
1.09,Premium,H,SI2,61.2,62.0,4395
1.0,Good,G,SI1,61.9,61.0,4859
0.53,Ideal,G,VS1,61.9,56.0,1813
1.06,Ideal,G,VVS2,60.1,57.0,8626
0.44,Ideal,G,SI1,61.5,57.0,772
1.26,Very Good,H,VS2,63.1,58.0,5849
0.3,Ideal,F,VS1,61.4,56.0,658
0.7,Very Good,F,SI1,60.5,56.0,2155
1.06,Ideal,G,SI2,62.2,55.0,4459
1.5,Premium,D,SI2,62.6,59.0,8108
0.55,Very Good,G,SI1,60.1,61.0,1316
0.41,Good,E,SI1,63.3,57.0,755
0.4,Ideal,D,SI1,59.6,57.0,990
0.38,Ideal,F,IF,61.5,56.0,1212
1.01,Very Good,E,SI1,62.6,57.0,4912
0.95,Premium,J,VVS2,62.6,59.0,3669
0.74,Very Good,I,VS2,60.9,56.0,2459
0.32,Ideal,G,VVS2,62.2,56.0,936
1.01,Very Good,F,SI1,62.0,56.0,5107
0.42,Ideal,F,VS1,62.3,55.0,1103
0.27,Very Good,D,VS1,62.2,58.0,413
0.7,Very Good,I,VVS2,62.4,61.0,2394
0.3,Ideal,E,VS1,61.6,57.0,729
0.72,Ideal,G,VS1,61.6,56.0,3478
0.34,Ideal,D,SI1,60.6,56.0,626
1.1,Very Good,H,VVS2,59.7,57.8,6497
1.25,Premium,J,VS2,62.0,59.0,5170
0.31,Premium,F,VS2,62.3,59.0,625
0.32,Premium,F,SI1,60.0,59.0,533
0.71,Very Good,I,VS2,61.1,60.0,2384
0.32,Ideal,G,VS1,61.9,55.0,602
0.42,Ideal,G,VVS1,61.4,56.0,1235
1.01,Ideal,F,SI1,62.7,54.0,6039
0.37,Premium,I,VVS1,62.4,58.0,681
0.74,Very Good,D,VS2,62.4,57.0,2906
0.3,Ideal,F,VS2,60.9,56.0,605
0.67,Good,F,VS1,62.3,62.0,2293
0.34,Ideal,I,VS1,61.8,55.0,555
0.31,Premium,G,VS1,61.2,60.0,625
0.7,Ideal,F,VS1,60.7,58.0,3265
1.0,Premium,F,SI1,59.7,60.0,4939
0.25,Premium,E,VS1,60.7,59.0,558
1.06,Premium,H,VS1,62.1,60.0,5247
0.32,Premium,D,VS2,61.7,58.0,758
0.7,Premium,F,SI2,61.2,59.0,1792
0.57,Ideal,H,VS1,61.3,55.1,1720
1.33,Very Good,I,VS2,62.5,61.0,6203
1.31,Good,G,SI2,63.8,56.0,4864
0.33,Premium,H,VS1,62.4,60.0,540
0.59,Ideal,D,SI1,62.5,55.0,1646
0.42,Ideal,H,VVS2,62.4,56.0,984
0.5,Ideal,H,SI1,61.7,58.0,1035
0.3,Ideal,H,VS2,61.4,57.0,454
1.01,Very Good,D,SI2,62.0,59.0,4528
1.05,Ideal,E,VVS2,61.3,56.0,9843
0.54,Premium,G,SI1,59.0,60.0,1389
1.1,Premium,H,VS2,61.2,58.0,5805
0.39,Premium,G,VS1,61.7,62.0,951
0.57,Very Good,D,VS2,60.4,57.0,1651
0.43,Ideal,E,VS1,61.2,56.0,981
0.5,Premium,E,VS2,62.7,59.0,1559
0.3,Premium,D,VS2,62.2,58.0,911
0.51,Ideal,E,VVS1,61.9,54.0,2720
0.34,Ideal,D,VS1,61.4,56.0,749
0.3,Very Good,G,VS2,63.0,56.0,526
1.3,Premium,F,SI1,61.4,59.0,8164
1.5,Premium,E,SI2,61.2,59.0,10080
0.7,Ideal,J,VS2,61.8,53.0,1874
1.0,Good,G,VS2,63.4,57.0,5702
0.7,Ideal,D,SI1,62.0,54.0,2726
0.26,Very Good,D,VS1,63.3,57.0,420
0.32,Ideal,G,IF,62.3,53.0,918
0.41,Good,F,SI1,63.1,56.0,685
0.72,Very Good,E,VS2,63.0,56.0,2949
0.71,Good,F,SI2,64.0,58.0,1818
0.51,Good,D,SI2,63.8,56.0,1268
0.56,Ideal,E,VVS2,62.6,54.0,2463
0.32,Ideal,I,VVS1,62.2,53.0,575
1.24,Premium,F,SI1,61.6,59.0,7162
0.52,Ideal,F,VS2,61.5,56.0,1981
0.9,Good,F,SI2,64.3,57.0,3210
0.25,Very Good,E,VVS2,62.7,59.0,575
1.03,Ideal,D,SI1,62.4,57.0,5653
1.11,Ideal,G,VS1,62.6,57.0,7758
0.32,Ideal,G,SI2,62.5,57.0,540
0.56,Very Good,F,SI1,62.9,56.0,1436
1.5,Fair,F,SI1,64.3,58.0,10450
0.51,Ideal,G,VS1,62.7,56.0,1656
1.51,Premium,H,VS2,60.7,58.0,10685
0.42,Ideal,G,VS2,61.6,56.0,1087
0.5,Very Good,I,VS2,61.7,58.0,1176
0.38,Ideal,F,SI1,60.4,57.0,844
0.33,Ideal,G,VVS1,62.3,55.0,810
0.52,Ideal,E,VS2,60.5,56.0,1897
1.51,Good,J,SI1,64.1,61.0,6511
0.71,Premium,D,SI1,61.3,58.0,2797
0.95,Ideal,F,SI1,61.7,56.0,6291
0.71,Very Good,H,SI1,63.5,57.0,2207
0.6,Premium,D,SI1,62.8,61.0,2106
0.31,Good,G,SI1,63.6,57.0,593
0.3,Ideal,I,VS1,61.6,56.0,473
1.09,Ideal,I,SI1,61.9,55.0,5486
0.58,Ideal,H,SI1,62.2,57.0,1255
0.53,Ideal,D,VS2,61.4,56.0,1783
1.06,Premium,F,SI2,62.5,58.0,4719
1.51,Very Good,E,SI1,63.1,56.0,10113
1.01,Fair,D,SI1,64.4,61.0,5147
0.51,Premium,G,SI1,62.4,58.0,1312
1.16,Premium,D,SI2,62.5,60.0,5136
0.41,Ideal,D,VVS2,62.5,57.0,1105
0.37,Premium,D,VVS2,61.0,60.0,1071
0.7,Ideal,F,VS1,61.6,55.0,3399
1.08,Ideal,E,SI1,61.5,55.0,7672
1.19,Ideal,I,VS1,61.6,56.0,7328
0.31,Ideal,D,VVS2,62.0,56.0,766
0.3,Good,E,SI1,63.8,55.0,675
0.31,Premium,H,VVS1,62.1,58.0,907
1.25,Premium,I,VS2,61.2,58.0,6300
1.01,Ideal,J,SI2,61.6,55.0,3801
0.9,Premium,D,SI2,62.3,58.0,3740
0.34,Ideal,H,VVS2,61.1,56.0,852
0.42,Ideal,F,SI1,60.6,57.0,773
0.31,Ideal,E,VS2,61.4,54.0,872
0.72,Ideal,G,SI2,61.5,55.0,2420
0.3,Good,J,VS2,64.1,58.0,441
0.61,Ideal,E,VS2,62.2,54.0,2278
0.32,Ideal,D,VS2,62.1,54.0,758
1.29,Premium,G,SI2,61.1,59.0,6116
0.53,Ideal,D,SI1,61.5,55.0,2021
1.71,Premium,I,VS2,61.5,58.0,9116
1.01,Very Good,F,SI1,61.9,57.0,4619
1.01,Ideal,H,VS2,61.7,56.0,5936
0.3,Ideal,F,IF,61.8,55.0,886
0.42,Ideal,D,VS2,62.1,54.0,1031
0.32,Ideal,G,IF,61.0,57.0,918
0.4,Premium,E,SI1,62.8,59.0,945
1.36,Premium,F,SI2,61.4,59.0,6458
0.31,Very Good,G,VS1,62.9,58.0,625
0.51,Premium,G,SI1,60.3,61.0,1312
0.43,Very Good,G,SI1,63.1,58.0,903
1.03,Very Good,D,SI1,61.2,54.0,5948
0.34,Premium,E,SI2,61.5,58.0,612
0.41,Premium,F,VVS2,60.1,59.0,1192
0.4,Ideal,F,SI2,62.5,53.0,597
0.33,Ideal,G,VVS1,60.9,56.7,806
0.39,Premium,D,VS2,61.3,58.0,1024
1.0,Premium,G,IF,62.2,61.0,7822
0.32,Ideal,H,IF,60.9,56.0,1080
1.13,Very Good,I,SI2,59.1,63.0,3987
1.5,Very Good,I,VVS2,62.0,53.0,10873
0.32,Ideal,H,VS2,61.3,55.0,505
0.9,Premium,H,SI1,61.4,60.0,3387
1.09,Premium,H,VS2,59.7,58.0,5677
0.41,Ideal,G,IF,61.0,57.0,1431
0.52,Very Good,G,SI1,61.1,56.0,1311
0.3,Very Good,H,VVS2,62.0,56.0,559
0.42,Premium,D,SI1,62.1,59.0,1040
0.3,Premium,G,VS1,62.1,60.0,776
1.4,Ideal,H,SI2,61.2,56.0,7213
0.9,Premium,G,VS2,62.9,62.0,3850
0.72,Good,D,SI2,64.1,57.0,2254
0.86,Good,F,SI2,64.3,60.0,2819
0.26,Ideal,F,VVS1,61.6,57.0,599
0.5,Ideal,D,VS2,60.1,59.0,1646
0.51,Ideal,E,VS2,61.2,57.0,1795
0.32,Premium,G,VS2,62.5,58.0,720
1.24,Very Good,J,VS1,62.4,59.4,5783
0.9,Good,E,SI1,63.8,61.0,3391
0.33,Very Good,F,VVS1,63.3,57.0,980
1.0,Good,D,SI1,60.5,60.0,5546
1.15,Very Good,H,SI1,62.4,57.0,5270
0.4,Good,G,VS2,62.8,54.4,909
1.09,Premium,E,SI2,60.9,59.0,5127
1.26,Very Good,G,SI2,61.3,55.0,6001
0.73,Ideal,H,IF,62.2,54.0,3301
1.06,Ideal,H,SI2,62.8,57.0,4452
0.71,Very Good,H,VS1,62.7,57.0,2559
1.3,Ideal,H,VVS1,62.8,55.2,9232
0.39,Premium,G,VS1,62.4,57.0,1097
0.52,Ideal,F,SI1,61.8,55.0,1624
0.27,Ideal,D,VVS1,62.2,56.0,622
1.52,Ideal,F,SI2,61.9,57.0,9948
0.7,Ideal,J,SI1,60.4,56.0,1926
0.56,Ideal,G,VVS1,62.3,55.0,2164
0.76,Ideal,E,SI1,62.7,54.0,2858
1.5,Very Good,I,SI2,63.2,52.0,6115
0.9,Good,F,SI1,63.9,58.0,3992
0.81,Ideal,I,SI1,61.3,56.0,3097
0.27,Very Good,G,VVS2,62.4,56.0,504
1.09,Premium,F,VS1,60.9,58.0,8204
1.23,Ideal,G,VVS1,63.2,56.0,10113
0.56,Ideal,D,VS1,61.6,57.0,2369
0.5,Very Good,D,SI2,63.4,59.0,1243
0.58,Good,F,VS1,62.2,62.0,2084
0.87,Very Good,H,SI1,62.2,57.0,3180
0.41,Ideal,F,VS2,61.7,54.0,809
0.9,Premium,H,SI2,59.5,60.0,2927
0.26,Ideal,D,VVS2,61.4,56.0,769
0.9,Premium,E,VS2,62.1,55.0,4833
1.14,Very Good,F,VS2,59.0,60.0,8131
0.3,Ideal,E,VS2,61.5,55.0,673
0.73,Ideal,H,VS2,62.7,55.0,2793
0.5,Ideal,E,VS2,62.6,54.0,1746
